,Name,Timestamp,Index,Video_Title,Video_ID,Video_URL,Channel_Name,Channel_URL,Description,Publish_Date,Category,View_Count,Like_Count,Dislike_Count,Comment_Count,Classification,hispanicmale24_Search_Appearance,hispanicmale24_Page,hispanicmale24_Ranking,hispanicfemale24_Search_Appearance,hispanicfemale24_Page,hispanicfemale24_Ranking,whitemale24_Search_Appearance,whitemale24_Page,whitemale24_Ranking,whitefemale24_Search_Appearance,whitefemale24_Page,whitefemale24_Ranking,africanamericanmale24_Search_Appearance,africanamericanmale24_Page,africanamericanmale24_Ranking,africanamericanfemale24_Search_Appearance,africanamericanfemale24_Page,africanamericanfemale24_Ranking,whitemale24_2_Search_Appearance,whitemale24_2_Page,whitemale24_2_Ranking,whitefemale24_2_Search_Appearance,whitefemale24_2_Page,whitefemale24_2_Ranking,hispanicmale16_Search_Appearance,hispanicmale16_Page,hispanicmale16_Ranking,hispanicfemale16_Search_Appearance,hispanicfemale16_Page,hispanicfemale16_Ranking,whitemale16_Search_Appearance,whitemale16_Page,whitemale16_Ranking,whitefemale16_Search_Appearance,whitefemale16_Page,whitefemale16_Ranking,whitemale16_2_Search_Appearance,whitemale16_2_Page,whitemale16_2_Ranking,whitefemale16_2_Search_Appearance,whitefemale16_2_Page,whitefemale16_2_Ranking,africanamericanmale16_Search_Appearance,africanamericanmale16_Page,africanamericanmale16_Ranking,africanamericanfemale16_Search_Appearance,africanamericanfemale16_Page,africanamericanfemale16_Ranking,electronic_cigarette_search,e-cigarette_search,e-cig_search,vape_search,vaping_search,e-liquid_search,e-juice_search,vape_pods_search,vape_mods_search,cigalikes_search,box_mods_search,vape_pens_search,pod_mods_search,disposable_vape_search,disposable_e-cigs_search,disposables_search,vape_juice_search,ends_search,has_label_0,has_label_1,has_label_2,has_label_3,has_label_4,has_label_5,has_label_6,has_label_7,has_label_8,has_label_9,has_labels,has_label_10,has_label_11,has_label_12,has_label_13,has_label_14
0,al,2020-10-28 19:10:31.270695,3791,MAN WITH A MISSION - Dead End in Tokyo,JjIiK9VcIsA,https://www.youtube.com/watch?v=JjIiK9VcIsA,MWAMVEVO,https://www.youtube.com/channel/UCYLgo-KjjtgHauYyKM3krmA,"man with a mission ""dead end in tokyo""
music: kamikaze boy, jean-ken johnny, patrick stump
lyrics: kamikaze boy, jean-ken johnny, patrick stump
produced by man with a mission & patrick stump

video directed by takeshi maruyama

follow man with a mission
official homepage: http://www.mwamjapan.info/
japanese twitter: https://twitter.com/mwamjapan
english twitter: https://twitter.com/mwamofficial
english instagram: https://www.instagram.com/mwamofficial/
japanese facebook: https://www.facebook.com/mwamjapan/
english facebook: https://www.facebook.com/mwamofficial/

music video by man with a mission performing dead end in tokyo
(c) 2017 epic records, a division of sony music entertainment under exclusive license from sony music records",2017-01-11T03:00:00Z,Music,13047665,95529.0,1665.0,2729.0,['tricks'],False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,True,6.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,al,2020-10-28 19:10:43.256133,243,How to charge any E cig without a charger,OTFCDxq9I70,https://www.youtube.com/watch?v=OTFCDxq9I70,HighWinds,https://www.youtube.com/channel/UCCal8npe6gMJyT2Uj079ecw,"temporary method. its tough at first, but worth it if you need a charge.

needed:
android or iphone usb charger 
teeth",2015-10-14T18:28:31Z,People & Blogs,798167,4409.0,838.0,621.0,[],True,7.0,4.0,True,6.0,14.0,True,6.0,16.0,True,3.0,15.0,True,4.0,3.0,True,6.0,13.0,True,7.0,0.0,True,6.0,16.0,False,,,True,7.0,4.0,False,,,True,7.0,0.0,True,7.0,10.0,False,,,True,6.0,16.0,False,,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,al,2020-10-28 19:10:58.720038,289,I Spent $1000 at a Vape Shop...,q9xGxjXRz1Y,https://www.youtube.com/watch?v=q9xGxjXRz1Y,Ryan Hall,https://www.youtube.com/channel/UC23zfpquyxJLwpLDDzeBVuQ,"for more information on everything you saw in this video & more, please go here: http://bit.ly/ryanhalltv

my website: https://www.rkhtv.com

twitter https://twitter.com/rkhtv (@rkhtv)
instagram https://www.instagram.com/rkhtvinsta/ (rkhtvinsta)
facebook https://www.facebook.com/rkhtv/",2019-03-26T18:00:05Z,Entertainment,1460130,25092.0,797.0,1664.0,[],True,3.0,5.0,True,2.0,6.0,True,2.0,12.0,False,,,True,2.0,17.0,True,3.0,13.0,True,3.0,4.0,True,3.0,10.0,True,2.0,16.0,True,3.0,3.0,True,3.0,0.0,True,3.0,4.0,True,3.0,7.0,True,3.0,7.0,True,3.0,1.0,True,2.0,6.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
